paper_id;edition_id
1;e001
11;e002
25;e003
28;e004
34;e005
37;e006
40;e007
46;e006
54;e005
71;e004
75;e003
83;e002
123;e001
127;e008
159;e009
165;e010
2;e011
57;e012
62;e013
112;e014
137;e013
140;e012
146;e011
148;e010
157;e009
166;e008
5;e015
22;e016
58;e017
59;e018
77;e019
87;e020
90;e021
91;e020
96;e019
97;e018
110;e017
142;e016
145;e015
8;e014
10;e013
18;e012
33;e011
79;e010
84;e009
93;e008
111;e007
116;e006
119;e005
9;e004
14;e003
31;e002
35;e001
43;e001
94;e002
101;e003
114;e004
115;e005
120;e006
133;e007
155;e008
12;e009
45;e010
63;e011
124;e012
139;e013
162;e014
13;e015
16;e016
51;e017
68;e018
89;e019
102;e020
117;e021
151;e021
24;e020
29;e019
32;e018
36;e017
47;e016
48;e015
67;e014
81;e013
85;e012
98;e011
122;e010
128;e009
129;e008
154;e007
167;e006
26;e005
72;e004
78;e003
103;e002
130;e001
147;e001
150;e002
160;e003
169;e004
55;e005
76;e006
82;e007
105;e008
106;e009
125;e010
126;e011
164;e013
