topic_id;topic_name
4200;psychology
4201;physical therapy
4202;psychiatry
4203;cardiology
4204;environmental science
4205;marine biology
4206;agriculture
4207;engineering
4208;addiction studies
4209;neuroscience
42010;pain management
42011;public health
42012;renewable energy engineering
42013;healthcare technology
42014;sleep science
42015;mental health
42016;digital health
42017;social psychology
42018;gastroenterology
42019;neurology
42020;prevention
42021;orthopedics
42022;remote monitoring
42023;chronic pain
42024;endocrinology
42025;chronic disease management
42026;respiratory medicine
42027;personalized medicine
42028;medical education
42029;microbiology
42030;education technology
42031;finance
42032;gerontology
42033;business technology
42034;cross-cultural studies
42035;agricultural science
42036;computer science
42037;clinical psychology
42038;marketing
42039;cancer research
42040;business management
42041;aging studies
42042;architecture
42043;education
42044;data science
42045;computer vision
42046;machine learning
42047;artificial intelligence
42048;healthcare
42049;cybersecurity
42050;natural language processing
42051;bioinformatics
42052;database systems
42053;data engineering
42054;data management
42055;data modeling
42056;indexing
42057;biology
42058;bioethics
42059;energy science
42060;sociology
42061;medical science
42062;ethics
42063;data processing
42064;data querying
42065;business analytics
42066;cloud computing
42067;data storage
42068;data analytics
42069;data security
42070;data visualization
42071;healthcare analytics
42072;data integration
