paper_id;keyword_name;keyword_id
1;sleep;4690
44;sleep;4690
1;deprivation;4691
1;cognitive function;4692
146;cognitive function;4692
1;attention;4693
146;attention;4693
1;working;4694
1;memory;4695
146;memory;4695
1;decision making;4696
1;performance;4697
2;exercise;4698
18;exercise;4698
21;exercise;4698
31;exercise;4698
2;chronic pain;4699
26;chronic pain;4699
2;pain;46910
2;perception;46911
2;physical function;46912
2;arthritis;46913
2;fibromyalgia;46914
3;social media;46915
20;social media;46915
68;social media;46915
84;social media;46915
129;social media;46915
150;social media;46915
3;adolescent;46916
3;mental health;46917
18;mental health;46917
50;mental health;46917
66;mental health;46917
68;mental health;46917
150;mental health;46917
3;anxiety;46918
9;anxiety;46918
18;anxiety;46918
23;anxiety;46918
150;anxiety;46918
3;depression;46919
29;depression;46919
32;depression;46919
42;depression;46919
150;depression;46919
3;excessive use;46920
4;machine learning algorithm;46921
4;heart disease;46922
4;prediction;46923
4;patient characteristics;46924
4;medical history;46925
5;greenhouse;46926
5;gas emissions;46927
5;urban transportation;46928
5;cars;46929
5;buses;46930
5;trains;46931
5;alternative modes policies;46932
6;climate change;46933
48;climate change;46933
65;climate change;46933
153;climate change;46933
6;coral reefs;46934
55;coral reefs;46934
6;warming;46935
6;waters;46936
6;ocean acidification;46937
55;ocean acidification;46937
6;biodiversity;46938
48;biodiversity;46938
7;microbes;46939
7;soil;46940
7;health nutrient cycling;46941
7;structure;46942
7;plant growth;46943
8;water filtration;46944
8;rural communities;46945
8;low-cost;46946
8;locally available materials;46947
8;simple technology;46948
9;meditation;46949
9;stress;46950
18;stress;46950
37;stress;46950
9;symptoms;46951
9;wellbeing;46952
10;social support;46953
50;social support;46953
10;substance use;46954
10;disorders recovery;46955
10;family support;46956
10;community support;46957
11;sustainable packaging;46958
11;food delivery;46959
11;services;46960
11;environmental impact;46961
53;environmental impact;46961
11;usability materials;46962
12;genetics;46963
12;autism;46964
12;spectrum disorders;46965
12;genetic markers;46966
12;diagnosis treatment;46967
13;pain management;46968
54;pain management;46968
13;medication;46969
13;physical therapy;46970
13;psychological interventions;46971
13;pain conditions;46972
54;pain conditions;46972
14;air pollution;46973
60;air pollution;46973
14;human health;46974
14;particulate matter;46975
14;ozone;46976
14;respiratory system;46977
14;cardiovascular system;46978
14;economic costs;46979
15;renewable energy;46980
149;renewable energy;46980
15;rural electrification;46981
15;solar power;46982
149;solar power;46982
15;wind power;46983
149;wind power;46983
15;hydroelectric power;46984
15;developing countries;46985
15;technical feasibility;46986
15;economic feasibility;46987
16;artificial intelligence;46988
56;artificial intelligence;46988
152;artificial intelligence;46988
154;artificial intelligence;46988
16;healthcare diagnosis;46989
16;treatment outcomes;46990
16;ethical considerations;46991
17;sleep deprivation;46992
146;sleep deprivation;46992
17;cognitive performance;46993
63;cognitive performance;46993
17;attention memory;46994
17;decision-making;46995
146;decision-making;46995
17;long-term consequences;46996
18;physical activity;46997
63;physical activity;46997
18;mood;46998
18;treatment;46999
19;mobile app;469100
19;remote patient monitoring;469101
19;features functionalities;469102
19;patient outcomes;469103
19;healthcare costs;469104
20;body image;469105
68;body image;469105
20;eating behaviors;469106
20;exposure;469107
20;idealized images;469108
20;self-esteem;469109
68;self-esteem;469109
20;positive body image;469110
22;microbiota;469111
24;sleep apnea;469112
25;alzheimer's disease;469113
43;alzheimer's disease;469113
67;alzheimer's disease;469113
27;nutrition;469114
40;nutrition;469114
28;osteoarthritis;469115
30;telemedicine;469116
35;telemedicine;469116
33;yoga;469117
34;vitamin d;469118
36;copd;469119
38;mindfulness;469120
39;genetic testing;469121
41;virtual reality;469122
45;augmented reality;469123
46;gut microbiota;469124
147;gut microbiota;469124
46;autoimmune diseases;469125
46;microbial dysbiosis disease;469126
46;pathogenesis;469127
46;microbiome-targeted therapies;469128
47;online education;469129
47;academic achievement;469130
69;academic achievement;469130
47;student engagement;469131
47;teacher workload;469132
47;educational inequality;469133
