edition_id;edition;venue;season;year
e001;QPL 2017;Sevilla, Spain;Summer;2017
e002;QPL 2018;Galicia, Spain;Winter;2018
e003;QPL 2019;Barcelona, Spain;Summer;2019
e004;QPL 2020;Madrd, Spain;Fall;2020
e005;QPL 2021;Rome, Italy;Summer;2021
e006;QPL 2022;Lyon, France;Spring;2022
e007;QPL 2023;Amsterdam, Netherlands;Winter;2023
e008;FICS 2017;Naples, Italy;Fall;2017
e009;FICS 2018;Venice, Italy;Fall;2018
e010;FICS 2019;Turino, Italy;Fall;2019
e011;FICS 2020;Paris, France;Summer;2020
e012;FICS 2021;Milan, Italy;Fall;2021
e013;FICS 2022;Barcelona, Spain;Fall;2022
e014;FICS 2023;Rome, Italy;Spring;2023
e015;GandALF 2017;California, USA;Fall;2017
e016;GandALF 2018;New York, USA;Winter;2018
e017;GandALF 2019;New York, USA;Spring;2019
e018;GandALF 2020;Roma, Italy;Summer;2020
e019;GandALF 2021;Turin, Italy;Summer;2021
e020;GandALF 2022;Turin, Italy;Winter;2022
e021;GandALF 2023;Barcelona, Spain;Spring;2023
