paper_id;author_id;co_author_id
1;9742924;9742917
2;9742924;9742916
3;9742918;9742922
4;9742920;9742923
5;9742910;9742928
6;9742915;9742913
7;9742909;9742928
8;9742916;9742924
9;9742910;9742911
10;9742913;9742915
11;9742926;9742910
12;9742919;9742914
13;9742909;9742919
14;9742909;9742923
15;9742928;9742907
16;9742917;9742909
17;9742929;9742910
18;9742912;9742913
19;9742926;9742925
20;9742909;9742915
21;9742914;9742927
22;9742926;9742907
23;9742929;9742908
24;9742923;9742924
25;9742926;9742920
26;9742909;9742922
27;9742916;9742917
28;9742918;9742920
29;9742910;9742927
30;9742925;9742909
31;9742917;9742921
32;9742918;9742919
33;9742926;9742923
34;9742921;9742912
35;9742919;9742928
36;9742921;9742928
37;9742927;9742922
38;9742920;9742922
39;9742915;9742913
40;9742912;9742921
41;9742916;9742907
42;9742927;9742913
43;9742928;9742924
44;9742922;9742919
45;9742919;9742925
46;9742919;9742908
47;9742912;9742919
48;9742926;9742929
49;9742918;9742927
50;9742926;9742917
51;9742912;9742911
52;9742907;9742915
53;9742911;9742919
54;9742917;9742911
55;9742911;9742919
56;9742918;9742916
57;9742912;9742928
58;9742926;9742924
59;9742921;9742908
60;9742920;9742916
61;9742923;9742917
62;9742926;9742922
63;9742914;9742917
64;9742922;9742927
65;9742917;9742913
66;9742912;9742919
67;9742926;9742929
68;9742928;9742915
69;9742907;9742913
70;9742927;9742907
71;9742915;9742912
72;9742919;9742929
73;9742928;9742918
74;9742909;9742913
75;9742923;9742909
76;9742925;9742913
77;9742913;9742918
78;9742922;9742913
79;9742924;9742914
80;9742915;9742908
81;9742920;9742929
82;9742908;9742916
83;9742929;9742918
84;9742908;9742923
85;9742919;9742913
86;9742923;9742917
87;9742913;9742929
88;9742920;9742908
89;9742912;9742914
90;9742908;9742907
91;9742907;9742915
92;9742913;9742928
93;9742911;9742907
94;9742909;9742927
95;9742908;9742922
96;9742909;9742910
97;9742912;9742927
98;9742928;9742909
99;9742920;9742923
100;9742920;9742908
101;9742910;9742907
102;9742923;9742927
103;9742918;9742909
104;9742917;9742909
105;9742928;9742911
106;9742914;9742923
107;9742917;9742922
108;9742908;9742924
109;9742927;9742924
110;9742917;9742918
111;9742912;9742928
112;9742917;9742921
113;9742913;9742925
114;9742916;9742911
115;9742916;9742918
116;9742912;9742916
117;9742919;9742914
118;9742921;9742916
119;9742911;9742921
120;9742918;9742927
121;9742910;9742913
122;9742912;9742908
123;9742929;9742921
124;9742921;9742913
125;9742925;9742916
126;9742914;9742909
127;9742917;9742922
128;9742923;9742909
129;9742909;9742925
130;9742912;9742926
131;9742926;9742916
132;9742926;9742929
133;9742923;9742922
134;9742919;9742922
135;9742914;9742928
136;9742927;9742919
137;9742911;9742909
138;9742921;9742909
139;9742912;9742925
140;9742917;9742918
141;9742912;9742921
142;9742919;9742907
143;9742912;9742916
144;9742914;9742928
145;9742907;9742928
146;9742925;9742909
147;9742917;9742920
148;9742914;9742923
149;9742926;9742920
150;9742911;9742927
151;9742923;9742929
152;9742928;9742916
153;9742928;9742915
154;9742920;9742914
155;9742918;9742929
156;9742925;9742921
157;9742924;9742923
158;9742915;9742928
159;9742911;9742927
160;9742925;9742921
161;9742925;9742928
162;9742923;9742908
163;9742913;9742923
164;9742919;9742910
165;9742925;9742920
166;9742929;9742917
167;9742917;9742908
168;9742926;9742912
169;9742907;9742910
