conference_name;Cited_Paper1;Num_cites1;Cited_Paper2;Num_cites2;Cited_Paper3;Num_cites3
Proceedings 12th International Workshop on Formal Engineering approaches to Software Components and Architectures;Designing a Sustainable Packaging Solution for Food Delivery Services;12;A Survey of Stream Processing Systems for Real-time Data Analytics;11;Exploring the Link between Gut Microbiota and Autoimmune Diseases;11
Proceedings 5th Workshop on Horn Clauses for Verification and Synthesis;An Evaluation of Graph Databases for Social Network Analysis;12;Analyzing User Behavior in Online Communities using Social Network Analysis;11;The Effectiveness of Yoga for Managing Chronic Pain;11
Proceedings 6th Workshop on Membrane Computing and Biologically Inspired Process Calculi;A Scalable Distributed Database for Internet of Things Applications;13;An Efficient Indexing Scheme for Spatial Databases;12;The promise and challenges of CRISPR-based gene therapies;11
Proceedings 9th International Workshop on Developments in Computational Models;A Comparative Study of SQL and NoSQL Databases;12;Predicting Traffic Congestion using Time Series Analysis;12;A Graph-based Model for Recommender Systems;11
Proceedings Eighth International Symposium on Games;A Survey of Data Mining Techniques for Social Media Analysis;11;The Effectiveness of Mindfulness-Based Cognitive Therapy for Treating Depression;11;Enhancing Cybersecurity using Machine Learning;10
Proceedings First International Workshop on Decentralized Coordination of Distributed Processes;Scalable Graph Data Processing Using Apache Spark;13;The impact of social media on mental health;9;Predicting Air Quality using Deep Learning;8
Proceedings Foundations for Interface Technologies;Investigating the Relationship between Physical Activity and Cognitive Functioning in Older Adults;11;Exploring the Role of Genetics in Autism Spectrum Disorders;8;Scalable Distributed Systems for Big Data Processing;8
Proceedings Ninth International Workshop on Reduction Strategies in Rewriting and Programming;Efficient Distributed Query Processing using In-Memory Technology;13;A Framework for Building Spatial Databases using Cloud-based Infrastructure;12;An Efficient Distributed Database for Internet of Things Data Management;10
Proceedings Workshop on Fixed Points in Computer Science;The effects of sleep deprivation on cognitive function;13;The ethics of gene editing;12;A Comparative Study of Data Querying Techniques for Heterogeneous Datasets;7
Proceedings of the 10th International Workshop on Quantum Physics and Logic;Assessment of Greenhouse Gas Emissions from Urban Transportation;9;Analyzing the Impacts of Advertising on Consumer Behavior;9;The Role of Gut Microbiota in Inflammatory Bowel Disease;9
