paper_id;volume_id
3;v001
17;v002
23;v003
30;v004
38;v005
44;v006
52;v007
66;v006
92;v005
107;v004
134;v003
136;v002
156;v001
4;v008
15;v009
21;v010
64;v011
113;v012
121;v013
131;v014
132;v013
138;v012
143;v011
144;v010
158;v009
6;v008
19;v015
20;v016
27;v017
50;v018
61;v019
73;v020
95;v021
163;v020
7;v019
41;v018
42;v017
53;v016
99;v015
104;v014
118;v013
141;v012
39;v011
60;v010
65;v009
70;v008
74;v007
135;v006
152;v005
49;v004
69;v003
80;v002
88;v001
100;v004
109;v007
149;v003
161;v007
168;v008
56;v002
86;v014
108;v015
153;v021
