id;author
9742907;Emmanuel Werr
9742908;Florian Reitz
9742909;Russell Turpin
9742910;Frank Olken
9742911;Guido Frisch
9742912;Stefano Cresci
9742913;Fabio Carrara
9742914;Piero Borga
9742915;Francesca Lunardini
9742916;Roberto Mura
9742917;Valentina Bartalesi
9742918;Federico Nardi
9742919;Veronica Penza
9742920;Davide Tamborini
9742921;Cristiano Rocco
9742922;Filippo Bonchi
9742923;Alessia Amelio
9742924;Said Daoudagh
9742925;Felice DellOrletta
9742926;Antonio Filieri
9742927;Marco Bessi
9742928;Sebastian Paglia
9742929;Francesca Righetti
