paper_id;publisherType_id
1;e002
11;e002
25;e002
28;e002
34;e002
37;e002
40;e002
46;e002
54;e002
71;e002
75;e002
83;e002
123;e002
127;e002
159;e002
165;e002
2;e010
57;e010
62;e010
112;e010
137;e010
140;e010
146;e010
148;e010
157;e010
166;e010
3;v005
17;v005
23;v005
30;v005
38;v005
44;v005
52;v005
66;v005
92;v005
107;v005
134;v005
136;v005
156;v005
4;v004
15;v004
21;v004
64;v004
113;v004
121;v004
131;v004
132;v004
138;v004
143;v004
144;v004
158;v004
5;e009
22;e009
58;e009
59;e009
77;e009
87;e009
90;e009
91;e009
96;e009
97;e009
110;e009
142;e009
145;e009
6;v007
19;v007
20;v007
27;v007
50;v007
61;v007
73;v007
95;v007
163;v007
7;v003
41;v003
42;v003
53;v003
99;v003
104;v003
118;v003
141;v003
8;e003
10;e003
18;e003
33;e003
79;e003
84;e003
93;e003
111;e003
116;e003
119;e003
9;e007
14;e007
31;e007
35;e007
43;e007
94;e007
101;e007
114;e007
115;e007
120;e007
133;e007
155;e007
12;e006
45;e006
63;e006
124;e006
139;e006
162;e006
13;e001
16;e001
51;e001
68;e001
89;e001
102;e001
117;e001
151;e001
24;e005
29;e005
32;e005
36;e005
47;e005
48;e005
67;e005
81;e005
85;e005
98;e005
122;e005
128;e005
129;e005
154;e005
167;e005
26;e004
72;e004
78;e004
103;e004
130;e004
147;e004
150;e004
160;e004
169;e004
39;v006
60;v006
65;v006
70;v006
74;v006
135;v006
152;v006
49;v002
69;v002
80;v002
88;v002
100;v002
109;v002
149;v002
161;v002
168;v002
55;e008
76;e008
82;e008
105;e008
106;e008
125;e008
126;e008
164;e008
56;v001
86;v001
108;v001
153;v001
