paper_id;reviewer_id;decision
1;9742915;1
1;9742919;0
1;9742911;0
1;9742907;1
1;9742929;0
1;9742926;1
1;9742914;1
2;9742926;1
2;9742908;0
2;9742921;1
2;9742920;1
2;9742911;1
3;9742929;0
3;9742926;1
3;9742916;0
3;9742921;1
3;9742907;1
3;9742908;0
3;9742925;1
4;9742921;0
4;9742929;0
4;9742907;1
4;9742928;0
4;9742913;0
5;9742922;1
5;9742920;1
5;9742912;1
5;9742907;0
5;9742919;0
5;9742918;1
6;9742914;1
6;9742919;0
6;9742923;0
6;9742912;1
6;9742924;1
6;9742908;1
6;9742922;0
7;9742915;1
7;9742921;1
7;9742922;0
7;9742924;1
7;9742907;0
7;9742919;0
7;9742926;1
8;9742917;0
8;9742911;1
8;9742913;0
8;9742925;1
8;9742922;0
8;9742919;1
9;9742928;0
9;9742926;0
9;9742923;0
9;9742924;1
9;9742913;0
9;9742909;0
9;9742917;1
10;9742909;1
10;9742908;0
10;9742920;1
10;9742921;1
10;9742926;0
10;9742914;1
11;9742920;1
11;9742918;0
11;9742913;1
11;9742923;0
11;9742929;0
11;9742922;1
12;9742923;0
12;9742912;1
12;9742918;1
12;9742924;0
12;9742913;1
12;9742917;1
12;9742911;1
13;9742920;0
13;9742922;0
13;9742921;0
13;9742912;1
13;9742924;0
13;9742928;0
14;9742916;0
14;9742926;1
14;9742919;0
14;9742924;1
14;9742914;0
14;9742921;0
14;9742912;0
15;9742917;0
15;9742922;1
15;9742925;0
15;9742912;0
15;9742921;1
15;9742926;1
15;9742913;1
16;9742919;0
16;9742928;0
16;9742910;1
16;9742914;0
16;9742925;1
16;9742920;1
16;9742929;0
17;9742918;0
17;9742922;0
17;9742921;1
17;9742927;1
17;9742923;0
17;9742928;1
17;9742915;0
18;9742918;1
18;9742917;0
18;9742910;0
18;9742926;0
18;9742921;0
18;9742923;1
18;9742924;1
19;9742910;1
19;9742913;0
19;9742921;1
19;9742911;0
19;9742917;1
19;9742920;1
19;9742928;1
20;9742928;1
20;9742927;1
20;9742914;0
20;9742921;0
20;9742912;0
21;9742918;1
21;9742924;0
21;9742917;0
21;9742928;0
21;9742907;1
21;9742923;1
