paper_id;volume_id
3;v005
17;v005
23;v005
30;v005
38;v005
44;v005
52;v005
66;v005
92;v005
107;v005
134;v005
136;v005
156;v005
4;v004
15;v004
21;v004
64;v004
113;v004
121;v004
131;v004
132;v004
138;v004
143;v004
144;v004
158;v004
6;v007
19;v007
20;v007
27;v007
50;v007
61;v007
73;v007
95;v007
163;v007
7;v003
41;v003
42;v003
53;v003
99;v003
104;v003
118;v003
141;v003
39;v006
60;v006
65;v006
70;v006
74;v006
135;v006
152;v006
49;v002
69;v002
80;v002
88;v002
100;v002
109;v002
149;v002
161;v002
168;v002
56;v001
86;v001
108;v001
153;v001
