paper_id;reviewer_id;decision;text
1;9742915;1;This is placeholder text for each review...
1;9742919;0;This is placeholder text for each review...
1;9742911;0;This is placeholder text for each review...
1;9742907;1;This is placeholder text for each review...
1;9742929;0;This is placeholder text for each review...
1;9742926;1;This is placeholder text for each review...
1;9742914;1;This is placeholder text for each review...
2;9742926;1;This is placeholder text for each review...
2;9742908;0;This is placeholder text for each review...
2;9742921;1;This is placeholder text for each review...
2;9742920;1;This is placeholder text for each review...
2;9742911;1;This is placeholder text for each review...
3;9742929;0;This is placeholder text for each review...
3;9742926;1;This is placeholder text for each review...
3;9742916;0;This is placeholder text for each review...
3;9742921;1;This is placeholder text for each review...
3;9742907;1;This is placeholder text for each review...
3;9742908;0;This is placeholder text for each review...
3;9742925;1;This is placeholder text for each review...
4;9742921;0;This is placeholder text for each review...
4;9742929;0;This is placeholder text for each review...
4;9742907;1;This is placeholder text for each review...
4;9742928;0;This is placeholder text for each review...
4;9742913;0;This is placeholder text for each review...
5;9742922;1;This is placeholder text for each review...
5;9742920;1;This is placeholder text for each review...
5;9742912;1;This is placeholder text for each review...
5;9742907;0;This is placeholder text for each review...
5;9742919;0;This is placeholder text for each review...
5;9742918;1;This is placeholder text for each review...
6;9742914;1;This is placeholder text for each review...
6;9742919;0;This is placeholder text for each review...
6;9742923;0;This is placeholder text for each review...
6;9742912;1;This is placeholder text for each review...
6;9742924;1;This is placeholder text for each review...
6;9742908;1;This is placeholder text for each review...
6;9742922;0;This is placeholder text for each review...
7;9742915;1;This is placeholder text for each review...
7;9742921;1;This is placeholder text for each review...
7;9742922;0;This is placeholder text for each review...
7;9742924;1;This is placeholder text for each review...
7;9742907;0;This is placeholder text for each review...
7;9742919;0;This is placeholder text for each review...
7;9742926;1;This is placeholder text for each review...
8;9742917;0;This is placeholder text for each review...
8;9742911;1;This is placeholder text for each review...
8;9742913;0;This is placeholder text for each review...
8;9742925;1;This is placeholder text for each review...
8;9742922;0;This is placeholder text for each review...
8;9742919;1;This is placeholder text for each review...
9;9742928;0;This is placeholder text for each review...
9;9742926;0;This is placeholder text for each review...
9;9742923;0;This is placeholder text for each review...
9;9742924;1;This is placeholder text for each review...
9;9742913;0;This is placeholder text for each review...
9;9742909;0;This is placeholder text for each review...
9;9742917;1;This is placeholder text for each review...
10;9742909;1;This is placeholder text for each review...
10;9742908;0;This is placeholder text for each review...
10;9742920;1;This is placeholder text for each review...
10;9742921;1;This is placeholder text for each review...
10;9742926;0;This is placeholder text for each review...
10;9742914;1;This is placeholder text for each review...
11;9742920;1;This is placeholder text for each review...
11;9742918;0;This is placeholder text for each review...
11;9742913;1;This is placeholder text for each review...
11;9742923;0;This is placeholder text for each review...
11;9742929;0;This is placeholder text for each review...
11;9742922;1;This is placeholder text for each review...
12;9742923;0;This is placeholder text for each review...
12;9742912;1;This is placeholder text for each review...
12;9742918;1;This is placeholder text for each review...
12;9742924;0;This is placeholder text for each review...
12;9742913;1;This is placeholder text for each review...
12;9742917;1;This is placeholder text for each review...
12;9742911;1;This is placeholder text for each review...
13;9742920;0;This is placeholder text for each review...
13;9742922;0;This is placeholder text for each review...
13;9742921;0;This is placeholder text for each review...
13;9742912;1;This is placeholder text for each review...
13;9742924;0;This is placeholder text for each review...
13;9742928;0;This is placeholder text for each review...
14;9742916;0;This is placeholder text for each review...
14;9742926;1;This is placeholder text for each review...
14;9742919;0;This is placeholder text for each review...
14;9742924;1;This is placeholder text for each review...
14;9742914;0;This is placeholder text for each review...
14;9742921;0;This is placeholder text for each review...
14;9742912;0;This is placeholder text for each review...
15;9742917;0;This is placeholder text for each review...
15;9742922;1;This is placeholder text for each review...
15;9742925;0;This is placeholder text for each review...
15;9742912;0;This is placeholder text for each review...
15;9742921;1;This is placeholder text for each review...
15;9742926;1;This is placeholder text for each review...
15;9742913;1;This is placeholder text for each review...
16;9742919;0;This is placeholder text for each review...
16;9742928;0;This is placeholder text for each review...
16;9742910;1;This is placeholder text for each review...
16;9742914;0;This is placeholder text for each review...
16;9742925;1;This is placeholder text for each review...
16;9742920;1;This is placeholder text for each review...
16;9742929;0;This is placeholder text for each review...
17;9742918;0;This is placeholder text for each review...
17;9742922;0;This is placeholder text for each review...
17;9742921;1;This is placeholder text for each review...
17;9742927;1;This is placeholder text for each review...
17;9742923;0;This is placeholder text for each review...
17;9742928;1;This is placeholder text for each review...
17;9742915;0;This is placeholder text for each review...
18;9742918;1;This is placeholder text for each review...
18;9742917;0;This is placeholder text for each review...
18;9742910;0;This is placeholder text for each review...
18;9742926;0;This is placeholder text for each review...
18;9742921;0;This is placeholder text for each review...
18;9742923;1;This is placeholder text for each review...
18;9742924;1;This is placeholder text for each review...
19;9742910;1;This is placeholder text for each review...
19;9742913;0;This is placeholder text for each review...
19;9742921;1;This is placeholder text for each review...
19;9742911;0;This is placeholder text for each review...
19;9742917;1;This is placeholder text for each review...
19;9742920;1;This is placeholder text for each review...
19;9742928;1;This is placeholder text for each review...
20;9742928;1;This is placeholder text for each review...
20;9742927;1;This is placeholder text for each review...
20;9742914;0;This is placeholder text for each review...
20;9742921;0;This is placeholder text for each review...
20;9742912;0;This is placeholder text for each review...
21;9742918;1;This is placeholder text for each review...
21;9742924;0;This is placeholder text for each review...
21;9742917;0;This is placeholder text for each review...
21;9742928;0;This is placeholder text for each review...
21;9742907;1;This is placeholder text for each review...
21;9742923;1;This is placeholder text for each review...
21;9742916;0;This is placeholder text for each review...
22;9742913;1;This is placeholder text for each review...
22;9742929;0;This is placeholder text for each review...
22;9742923;0;This is placeholder text for each review...
22;9742919;0;This is placeholder text for each review...
22;9742918;1;This is placeholder text for each review...
22;9742924;1;This is placeholder text for each review...
22;9742921;1;This is placeholder text for each review...
23;9742907;0;This is placeholder text for each review...
23;9742924;0;This is placeholder text for each review...
23;9742922;0;This is placeholder text for each review...
23;9742915;0;This is placeholder text for each review...
23;9742916;1;This is placeholder text for each review...
23;9742914;0;This is placeholder text for each review...
23;9742910;0;This is placeholder text for each review...
24;9742926;0;This is placeholder text for each review...
24;9742928;0;This is placeholder text for each review...
24;9742914;0;This is placeholder text for each review...
24;9742925;1;This is placeholder text for each review...
24;9742913;1;This is placeholder text for each review...
24;9742919;0;This is placeholder text for each review...
24;9742921;0;This is placeholder text for each review...
25;9742915;1;This is placeholder text for each review...
25;9742910;1;This is placeholder text for each review...
25;9742918;1;This is placeholder text for each review...
25;9742923;0;This is placeholder text for each review...
25;9742908;0;This is placeholder text for each review...
25;9742928;0;This is placeholder text for each review...
25;9742912;0;This is placeholder text for each review...
26;9742917;0;This is placeholder text for each review...
26;9742907;1;This is placeholder text for each review...
26;9742908;1;This is placeholder text for each review...
26;9742921;1;This is placeholder text for each review...
26;9742920;1;This is placeholder text for each review...
26;9742911;0;This is placeholder text for each review...
26;9742915;1;This is placeholder text for each review...
27;9742923;1;This is placeholder text for each review...
27;9742929;0;This is placeholder text for each review...
27;9742921;1;This is placeholder text for each review...
27;9742915;0;This is placeholder text for each review...
27;9742909;0;This is placeholder text for each review...
27;9742927;0;This is placeholder text for each review...
27;9742910;1;This is placeholder text for each review...
28;9742911;1;This is placeholder text for each review...
28;9742928;0;This is placeholder text for each review...
28;9742915;1;This is placeholder text for each review...
28;9742909;1;This is placeholder text for each review...
28;9742910;0;This is placeholder text for each review...
29;9742928;1;This is placeholder text for each review...
29;9742917;1;This is placeholder text for each review...
29;9742929;1;This is placeholder text for each review...
29;9742922;1;This is placeholder text for each review...
29;9742913;0;This is placeholder text for each review...
29;9742907;1;This is placeholder text for each review...
29;9742920;0;This is placeholder text for each review...
30;9742910;0;This is placeholder text for each review...
30;9742924;0;This is placeholder text for each review...
30;9742929;1;This is placeholder text for each review...
30;9742920;0;This is placeholder text for each review...
30;9742928;0;This is placeholder text for each review...
30;9742917;1;This is placeholder text for each review...
30;9742908;1;This is placeholder text for each review...
31;9742929;1;This is placeholder text for each review...
31;9742915;1;This is placeholder text for each review...
31;9742909;1;This is placeholder text for each review...
31;9742912;1;This is placeholder text for each review...
31;9742920;1;This is placeholder text for each review...
31;9742910;1;This is placeholder text for each review...
31;9742922;0;This is placeholder text for each review...
32;9742908;0;This is placeholder text for each review...
32;9742922;1;This is placeholder text for each review...
32;9742911;0;This is placeholder text for each review...
32;9742907;0;This is placeholder text for each review...
32;9742909;0;This is placeholder text for each review...
32;9742923;1;This is placeholder text for each review...
32;9742912;0;This is placeholder text for each review...
33;9742916;0;This is placeholder text for each review...
33;9742913;1;This is placeholder text for each review...
33;9742909;1;This is placeholder text for each review...
33;9742917;1;This is placeholder text for each review...
33;9742910;1;This is placeholder text for each review...
33;9742907;1;This is placeholder text for each review...
33;9742918;1;This is placeholder text for each review...
34;9742914;1;This is placeholder text for each review...
34;9742913;1;This is placeholder text for each review...
34;9742911;1;This is placeholder text for each review...
34;9742917;0;This is placeholder text for each review...
